Year,United States (thousands),China (thousands)
2050,4398.3772727272735,16605.036363636376
2049,4354.5,16326.145454545389
2048,4310.6227272727265,16047.254545454518
2047,4266.745454545453,15768.363636363647
2046,4222.868181818179,15489.47272727266
2045,4178.990909090906,15210.581818181789
2044,4135.113636363632,14931.690909090918
2043,4091.236363636359,14652.79999999993
2042,4047.3590909090854,14373.90909090906
2041,4003.481818181812,14095.018181818188
2040,3959.6045454545383,13816.1272727272
2039,3915.727272727265,13537.23636363633
2038,3871.850000000006,13258.345454545459
2037,3827.9727272727323,12979.454545454471
2036,3784.095454545459,12700.5636363636
2035,3740.2181818181853,12421.67272727273
2034,3696.3409090909117,12142.781818181742
2033,3652.463636363638,11863.890909090871
2032,3608.5863636363647,11585.0
2031,3564.709090909091,11306.109090909013
2030,3520.8318181818177,11027.218181818142
2029,3476.954545454544,10748.32727272727
2028,3433.0772727272706,10469.436363636283
2027,3389.199999999997,10190.545454545412
2026,3345.3227272727236,9911.654545454541
2025,3301.44545454545,9632.763636363554
2024,3257.5681818181765,9353.872727272683
2023,3213.690909090903,9074.981818181812
2022,3099.1,9673.0
2021,3150.5,8265.0
2020,3099.4,7925.0
2019,3056.9,7585.0
2018,3014.3,7533.0
2017,2966.8,7358.0
2016,2919.3,7042.0
2015,2863.0,6809.0
2014,2806.6,6594.0
2013,2761.8,6387.0
2012,2717.0,6247.0
2011,2687.1636363636353,5728.290909090894
2010,2643.286363636362,5449.400000000023
2009,2599.4090909090883,5170.509090909036
2008,2555.5318181818147,4891.618181818165
2007,2511.654545454541,4612.727272727294
2006,2467.7772727272677,4333.8363636363065
2005,2423.899999999994,4054.9454545454355
2004,2380.0227272727207,3776.0545454545645
2003,2336.145454545447,3497.163636363577
2002,2292.2681818181736,3218.272727272706
2001,2248.3909090909146,2939.381818181835
2000,2204.513636363641,2660.4909090908477
