Year,China,USA
2000,49748.53,86033.4
2001,51245.7,80245.2
2002,52742.86,74457.0
2003,58898.47,102756.0
2004,65054.07,131055.0
2005,71209.68,159354.0
2006,77365.28,187653.0
2007,83520.89,215952.0
2008,89676.5,217968.8
2009,95832.1,219985.6
2010,101987.71,222002.4
2011,108143.31,224019.2
2012,121073.14,199034.0
2013,127228.75,214420.8
2014,133384.36,229807.6
2015,139539.96,245194.4
2016,145695.57,260581.2
2017,136315.13,308956.0
2018,151004.0,314187.4
2019,165692.88,319418.8
2020,180381.75,324650.2
2021,195070.63,329881.6
2022,189132.41,285057.0
2023,198459.21,314250.0
2024,207786.01,343443.0
2025,217112.81,372636.0
2026,226439.6,401829.0
2027,235766.4,431022.0
2028,245093.2,460215.0
2029,254420.0,489408.0
2030,263746.8,518601.0
2031,273073.6,547794.0
2032,282400.4,576987.0
2033,291727.2,606180.0
2034,301054.0,635373.0
2035,310380.8,664566.0
2036,319707.6,693759.0
2037,329034.4,722952.0
2038,338361.2,752145.0
2039,347688.0,781338.0
2040,357014.8,810531.0
2041,366341.6,839724.0
2042,375668.4,868917.0
2043,384995.2,898110.0
2044,394322.0,927303.0
2045,403648.8,956496.0
2046,412975.6,985689.0
2047,422302.4,1014882.0
2048,431629.2,1044075.0
2049,440956.0,1073268.0
2050,450282.8,1102461.0
