Year,China,US
2002,-1.6367826049911065,0.44330180334396313
2003,-1.620394545663332,0.4425023858157792
2004,-1.6040064863355576,0.441702968287595
2005,-1.587618427007783,0.44130325952350297
2006,-1.5708306589159169,0.4405038419953187
2007,-1.5544425995881423,0.43970442446713476
2008,-1.536455705204,0.47367966941495976
2009,-1.518069102055765,0.5076549143627844
2010,-1.5000822076716225,0.5416301593106094
2011,-1.4816956045233878,0.5752056954943424
2012,-1.4637087101392452,0.6091809404421674
2013,-1.4441229806987346,0.607182396621707
2014,-1.4241375424941316,0.6051838528012468
2015,-1.4045518130536208,0.6031853089807864
2016,-1.3849660836131097,0.6015864739244181
2017,-1.365380354172599,0.599587930103958
2018,-1.3453949159679963,0.6359614276363351
2019,-1.325009768999301,0.6727346339328045
2020,-1.3050243307946983,0.7095078402292739
2021,-1.2850388925900953,0.745881337761651
2022,-1.2650534543854923,0.7826545440581204
2023,-1.241870346068153,0.8210265854109581
2024,-1.2174881114585376,0.8597983355278876
2025,-1.1919067505566459,0.8993695031730011
2026,-1.165126263362478,0.939340379582207
2027,-1.137146649876034,0.9801106735195972
2028,-1.1075682013332215,1.021680384985171
2029,-1.0763909177340412,1.0636498052148369
2030,-1.0440145078425844,1.106018934208595
2031,-1.0096395541306675,1.1491874807305373
2032,-0.9736657653623821,1.193155444780664
2033,-0.9360931415377288,1.2379228263589748
2034,-0.896122265128523,1.2830899167013772
2035,-0.854552553662949,1.3290564245719634
2036,-0.8109842983769145,1.3758223499707343
2037,-0.7650177905063279,1.4233876928976892
2038,-0.717052738815281,1.4713527445887362
2039,-0.6662897257755896,1.5201172138079673
2040,-0.6131284601513459,1.5696811005553828
2041,-0.5571692331784578,1.6200444048309817
2042,-0.4988117536210173,1.6712071266347652
2043,-0.4372566039508403,1.7231692659667326
2044,-0.372503784167927,1.7759308228268846
2045,-0.30455329427227706,1.8290920884511281
2046,-0.23340513426389095,1.883452480367648
2047,-0.15865959537867594,1.938612289812352
2048,-0.07991696885254057,1.9945715167852403
2049,0.0028227453145154412,2.0513301612863124
2050,0.08915983835839983,2.109287932079661
