Year,China,United States
2000,0.03959595144038051,-0.07032395868516349
2001,0.02640556222522707,-0.07392133756208673
2002,0.013215173010074202,-0.07751871643900968
2003,2.4783794921049344e-05,-0.08111609531593263
2004,-0.013165605420232103,-0.08471347419285558
2005,-0.026355994635385255,-0.08831085306977852
2006,-0.03954638385053841,-0.09190823194670147
2007,-0.052736773065691564,-0.09550561082362442
2008,-0.06592716228084472,-0.09910298970054737
2009,-0.07911755149599786,-0.10270036857747032
2010,-0.09230794071115074,-0.10629774745439327
2011,-0.10549832992630417,-0.10989512633131736
2012,-0.11868871914146159,-0.11349250520824031
2013,-0.131879108356615,-0.11708988408516353
2014,-0.14506949757176818,-0.1206872629620862
2015,-0.15825988678692132,-0.12428464183900916
2016,-0.17145027600207477,-0.1278820207159321
2017,-0.18464066521722763,-0.13147939959285504
2018,-0.19783105443238078,-0.135076778469778
2019,-0.21102144364753395,-0.13867415734670094
2020,-0.2242118328626871,-0.1422715362236239
2021,-0.23740222207784023,-0.14586891510054656
2022,-0.2505926112929934,-0.14946629397747066
2023,-0.26378300050814657,-0.15306367285439387
2024,-0.2769733897232997,-0.15666105173131684
2025,-0.2901637789384526,-0.16025843060823977
2026,-0.303354168153606,-0.16385580948516246
2027,-0.3165445573687634,-0.16745318836208567
2028,-0.32973494658391683,-0.17105056723900863
2029,-0.34292533579907003,-0.17464794611593157
2030,-0.3561157250142232,-0.17824532499285453
2031,-0.3693061142293763,-0.18184270386977747
2032,-0.38249650344452946,-0.18544008274670043
2033,-0.3956868926596826,-0.1890374616236245
2034,-0.4088772818748358,-0.19263484050054747
2035,-0.42206767108998894,-0.1962322193774707
2036,-0.4352580603051421,-0.19982959825439336
2037,-0.4484484495202952,-0.2034269771313163
2038,-0.46163883873544836,-0.20702435600823926
2039,-0.47482922795060156,-0.2106217348851622
2040,-0.48801961716575454,-0.21421911376208516
2041,-0.5012100063809124,-0.2178164926390081
2042,-0.5144003955960654,-0.22141387151593106
2043,-0.5275907848112186,-0.22501125039285513
2044,-0.5407811740263718,-0.2286086292697781
2045,-0.5539715632415252,-0.23220600814670103
2046,-0.5671619524566781,-0.235803387023624
2047,-0.5803523416718313,-0.23940076590054693
2048,-0.5935427308869845,-0.2429981447774699
2049,-0.6067331201021378,-0.24659552365439283
2050,-0.6199235093172908,-0.25019290253131576
